단축코드,표준코드,한글종목명,ELW권리형태,ELW조기종료발생기준가격,바스켓여부,기초자산코드1,기초자산코드2,기초자산코드3,기초자산코드4,기초자산코드5,발행사한글종목명,발행사코드,행사가,최종거래일,잔존일수,권리유형구분코드,지급일,전일시가총액(억),상장주수(천),시장참가자번호1,시장참가자번호2,시장참가자번호3,시장참가자번호4,시장참가자번호5,시장참가자번호6,시장참가자번호7,시장참가자번호8,시장참가자번호9,시장참가자번호10
52L812,KRA521141FA9,미래L812카카오콜,0,000000000.000,N,035720,,,,,,00005,006500000,20260611,0014,C,20260617,000000000,000000000015400,00005,,,,,,,,,
52L826,KRA521155FA9,미래L826삼성SDI콜,0,000000000.000,N,006400,,,,,,00005,022150000,20260611,0014,C,20260617,000000211,000000000009400,00005,,,,,,,,,
52L830,KRA521159FA1,미래L830현대차콜,0,000000000.000,N,005380,,,,,,00005,023900000,20260611,0014,C,20260617,000000223,000000000027100,00005,,,,,,,,,
52L834,KRA521163FA3,미래L834두산에너콜,0,000000000.000,N,034020,,,,,,00005,006860000,20260611,0014,C,20260617,000000036,000000000010400,00005,,,,,,,,,
52L838,KRA521167FA4,미래L838LG에너지콜,0,000000000.000,N,373220,,,,,,00005,037250000,20260611,0014,C,20260617,000000015,000000000012700,00005,,,,,,,,,
52L842,KRA521171FA6,미래L842HMM콜,0,000000000.000,N,011200,,,,,,00005,002340000,20260611,0014,C,20260617,000000001,000000000015700,00005,,,,,,,,,
52L848,KRA521177FA3,미래L848SK이노콜,0,000000000.000,N,096770,,,,,,00005,011700000,20260611,0014,C,20260617,000000004,000000000017300,00005,,,,,,,,,
52L903,KRA521108FB6,미래L903삼성전자콜,0,000000000.000,N,005930,,,,,,00005,009880000,20260611,0014,C,20260617,000000258,000000000020000,00005,,,,,,,,,
52L904,KRA521109FB4,미래L904삼성전자콜,0,000000000.000,N,005930,,,,,,00005,009080000,20260611,0014,C,20260617,000000060,000000000012700,00005,,,,,,,,,
52L905,KRA521110FB2,미래L905삼성전자콜,0,000000000.000,N,005930,,,,,,00005,009880000,20260910,0105,C,20260916,000000298,000000000014800,00005,,,,,,,,,
52L908,KRA521213FB4,미래L908삼성전자풋,0,000000000.000,N,005930,,,,,,00005,009080000,20260611,0014,P,20260617,000000000,000000000011300,00005,,,,,,,,,
52L912,KRA521117FB7,미래L912네이버콜,0,000000000.000,N,035420,,,,,,00005,028100000,20260611,0014,C,20260617,000000001,000000000020900,00005,,,,,,,,,
52L926,KRA521131FB8,미래L926모비스콜,0,000000000.000,N,012330,,,,,,00005,033000000,20260611,0014,C,20260617,000000089,000000000026400,00005,,,,,,,,,
52L938,KRA521143FB3,미래L938LG에너지콜,0,000000000.000,N,373220,,,,,,00005,044300000,20260611,0014,C,20260617,000000005,000000000011200,00005,,,,,,,,,
52L943,KRA521148FB2,미래L943한화솔루콜,0,000000000.000,N,009830,,,,,,00005,003200000,20260611,0014,C,20260617,000000025,000000000014300,00005,,,,,,,,,
52L946,KRA521151FB6,미래L946카카페이콜,0,000000000.000,N,377300,,,,,,00005,005830000,20260611,0014,C,20260617,000000000,000000000012900,00005,,,,,,,,,
52L951,KRA521156FB5,미래L951에이피알콜,0,000000000.000,N,278470,,,,,,00005,028300000,20260611,0014,C,20260617,000000034,000000000013900,00005,,,,,,,,,
52L954,KRA521159FB9,미래L954한국조선콜,0,000000000.000,N,009540,,,,,,00005,043850000,20260611,0014,C,20260617,000000002,000000000010000,00005,,,,,,,,,
52L976,KRA521106FC8,미래L976삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010850000,20260611,0014,C,20260617,000000303,000000000016400,00005,,,,,,,,,
52L977,KRA521107FC6,미래L977삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010150000,20260611,0014,C,20260617,000000046,000000000011800,00005,,,,,,,,,
52L978,KRA521108FC4,미래L978삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010400000,20260709,0042,C,20260715,000000114,000000000012100,00005,,,,,,,,,
52L979,KRA521109FC2,미래L979삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010600000,20260813,0077,C,20260820,000000191,000000000011700,00005,,,,,,,,,
52L980,KRA521110FC0,미래L980삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010850000,20260910,0105,C,20260916,000000241,000000000011800,00005,,,,,,,,,
52L982,KRA521212FC4,미래L982삼성전자풋,0,000000000.000,N,005930,,,,,,00005,009210000,20260910,0105,P,20260916,000000000,000000000011700,00005,,,,,,,,,
52L985,KRA521115FC9,미래L985POSCO홀콜,0,000000000.000,N,005490,,,,,,00005,033200000,20260611,0014,C,20260617,000000047,000000000025700,00005,,,,,,,,,
52L986,KRA521116FC7,미래L986POSCO홀콜,0,000000000.000,N,005490,,,,,,00005,033200000,20260910,0105,C,20260916,000000047,000000000018600,00005,,,,,,,,,
52L990,KRA521120FC9,미래L990네이버콜,0,000000000.000,N,035420,,,,,,00005,028850000,20260611,0014,C,20260617,000000002,000000000022800,00005,,,,,,,,,
52L991,KRA521121FC7,미래L991네이버콜,0,000000000.000,N,035420,,,,,,00005,026500000,20260611,0014,C,20260617,000000000,000000000016400,00005,,,,,,,,,
52L992,KRA521122FC5,미래L992네이버콜,0,000000000.000,N,035420,,,,,,00005,028850000,20260910,0105,C,20260916,000000001,000000000016400,00005,,,,,,,,,
52L995,KRA521125FC8,미래L995하이브콜,0,000000000.000,N,352820,,,,,,00005,031800000,20260611,0014,C,20260617,000000001,000000000017000,00005,,,,,,,,,
52L996,KRA521126FC6,미래L996하이브콜,0,000000000.000,N,352820,,,,,,00005,033900000,20260910,0105,C,20260916,000000001,000000000016400,00005,,,,,,,,,
52LA00,KRA521130FC8,미래LA00카카오콜,0,000000000.000,N,035720,,,,,,00005,006970000,20260611,0014,C,20260617,000000002,000000000018200,00005,,,,,,,,,
52LA01,KRA521131FC6,미래LA01카카오콜,0,000000000.000,N,035720,,,,,,00005,006680000,20260709,0042,C,20260715,000000001,000000000013700,00005,,,,,,,,,
52LA02,KRA521132FC4,미래LA02카카오콜,0,000000000.000,N,035720,,,,,,00005,006970000,20260910,0105,C,20260916,000000001,000000000013200,00005,,,,,,,,,
52LA06,KRA521136FC5,미래LA06한국전력콜,0,000000000.000,N,015760,,,,,,00005,004900000,20260611,0014,C,20260617,000000000,000000000011700,00005,,,,,,,,,
52LA08,KRA521138FC1,미래LA08HMM콜,0,000000000.000,N,011200,,,,,,00005,002200000,20260709,0042,C,20260715,000000004,000000000014100,00005,,,,,,,,,
52LA12,KRA521142FC3,미래LA12한화오션콜,0,000000000.000,N,042660,,,,,,00005,014050000,20260611,0014,C,20260617,000000001,000000000011200,00005,,,,,,,,,
52LA13,KRA521143FC1,미래LA13한화오션콜,0,000000000.000,N,042660,,,,,,00005,012400000,20260611,0014,C,20260617,000000002,000000000008300,00005,,,,,,,,,
52LA15,KRA521145FC6,미래LA15삼성화재콜,0,000000000.000,N,000810,,,,,,00005,054200000,20260611,0014,C,20260617,000000004,000000000008900,00005,,,,,,,,,
52LA21,KRA521151FC4,미래LA21SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,063000000,20260611,0014,C,20260617,000000214,000000000012900,00005,,,,,,,,,
52LA22,KRA521152FC2,미래LA22SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,056800000,20260611,0014,C,20260617,000000149,000000000009900,00005,,,,,,,,,
52LA23,KRA521153FC0,미래LA23SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,060400000,20260709,0042,C,20260715,000000060,000000000010500,00005,,,,,,,,,
52LA24,KRA521154FC8,미래LA24SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,064400000,20260910,0105,C,20260916,000000170,000000000010300,00005,,,,,,,,,
52LA27,KRA521157FC1,미래LA27기아콜,0,000000000.000,N,000270,,,,,,00005,012200000,20260709,0042,C,20260715,000000100,000000000033400,00005,,,,,,,,,
52LA32,KRA521162FC1,미래LA32LG화학콜,0,000000000.000,N,051910,,,,,,00005,042400000,20260611,0014,C,20260617,000000000,000000000016200,00005,,,,,,,,,
52LA33,KRA521163FC9,미래LA33LG화학콜,0,000000000.000,N,051910,,,,,,00005,038200000,20260709,0042,C,20260715,000000003,000000000010000,00005,,,,,,,,,
52LA36,KRA521166FC2,미래LA36한국조선콜,0,000000000.000,N,009540,,,,,,00005,046150000,20260611,0014,C,20260617,000000002,000000000012900,00005,,,,,,,,,
52LA41,KRA521171FC2,미래LA41삼성SDI콜,0,000000000.000,N,006400,,,,,,00005,034000000,20260611,0014,C,20260617,000000113,000000000017900,00005,,,,,,,,,
52LA45,KRA521175FC3,미래LA45LG에너지콜,0,000000000.000,N,373220,,,,,,00005,050300000,20260611,0014,C,20260617,000000000,000000000010000,00005,,,,,,,,,
52LA52,KRA521182FC9,미래LA52신한지주콜,0,000000000.000,N,055550,,,,,,00005,008600000,20260611,0014,C,20260617,000000022,000000000023900,00005,,,,,,,,,
52LA54,KRA521184FC5,미래LA54하나금융콜,0,000000000.000,N,086790,,,,,,00005,010000000,20260611,0014,C,20260617,000000016,000000000018200,00005,,,,,,,,,
52LA57,KRA521187FC8,미래LA57현대차콜,0,000000000.000,N,005380,,,,,,00005,029300000,20260611,0014,C,20260617,000000260,000000000032300,00005,,,,,,,,,
52LA58,KRA521188FC6,미래LA58한국항공콜,0,000000000.000,N,047810,,,,,,00005,010750000,20260611,0014,C,20260617,000000064,000000000010000,00005,,,,,,,,,
52LA62,KRA521192FC8,미래LA62삼성중콜,0,000000000.000,N,010140,,,,,,00005,002920000,20260611,0014,C,20260617,000000004,000000000015000,00005,,,,,,,,,
52LA66,KRA521196FC9,미래LA66알테오젠콜,0,000000000.000,N,196170,,,,,,00005,053870000,20260611,0014,C,20260617,000000000,000000000012000,00005,,,,,,,,,
52LA67,KRA521197FC7,미래LA67알테오젠콜,0,000000000.000,N,196170,,,,,,00005,051760000,20260611,0014,C,20260617,000000001,000000000021600,00005,,,,,,,,,
52LA68,KRA521198FC5,미래LA68알테오젠콜,0,000000000.000,N,196170,,,,,,00005,056170000,20260709,0042,C,20260715,000000002,000000000012100,00005,,,,,,,,,
52LA69,KRA521199FC3,미래LA69알테오젠콜,0,000000000.000,N,196170,,,,,,00005,058660000,20260910,0105,C,20260916,000000001,000000000012500,00005,,,,,,,,,
52LA72,KRA5211A2FC4,미래LA72현대로템콜,0,000000000.000,N,064350,,,,,,00005,021100000,20260611,0014,C,20260617,000000008,000000000016200,00005,,,,,,,,,
52LA79,KRA5211A9FC9,미래LA79삼성전기콜,0,000000000.000,N,009150,,,,,,00005,024700000,20260611,0014,C,20260617,000001170,000000000043500,00005,,,,,,,,,
52LA81,KRA5211ABFC7,미래LA81KB금융콜,0,000000000.000,N,105560,,,,,,00005,013700000,20260611,0014,C,20260617,000000010,000000000016400,00005,,,,,,,,,
52LA91,KRA5211AMFC4,미래LA91LIG디앤콜,0,000000000.000,N,079550,,,,,,00005,044600000,20260611,0014,C,20260617,000000087,000000000008100,00005,,,,,,,,,
52LB01,KRA5211AYFC9,미래LB01포스코퓨콜,0,000000000.000,N,003670,,,,,,00005,022500000,20260611,0014,C,20260617,000000005,000000000017900,00005,,,,,,,,,
52M002,KRA5211B4G11,미래M002SK하이닉콜,0,000000000.000,N,000660,,,,,,00005,059100000,20260813,0077,C,20260820,000000132,000000000012000,00005,,,,,,,,,
52M003,KRA5212B5G18,미래M003SK하이닉풋,0,000000000.000,N,000660,,,,,,00005,059900000,20260611,0014,P,20260617,000000000,000000000009000,00005,,,,,,,,,
52M007,KRA5211B9G16,미래M007삼성전자콜,0,000000000.000,N,005930,,,,,,00005,012000000,20260611,0014,C,20260617,000000279,000000000030400,00005,,,,,,,,,
52M008,KRA5211BAG12,미래M008삼성전자콜,0,000000000.000,N,005930,,,,,,00005,011250000,20260611,0000,C,20260617,000000183,000000000021800,,,,,,,,,,
52M009,KRA5211BBG11,미래M009삼성전자콜,0,000000000.000,N,005930,,,,,,00005,011500000,20260709,0042,C,20260715,000000225,000000000021800,00005,,,,,,,,,
52M010,KRA5211BCG10,미래M010삼성전자콜,0,000000000.000,N,005930,,,,,,00005,011750000,20260813,0077,C,20260820,000000212,000000000020900,00005,,,,,,,,,
52M011,KRA5211BDG19,미래M011삼성전자콜,0,000000000.000,N,005930,,,,,,00005,012000000,20260910,0105,C,20260916,000000189,000000000020900,00005,,,,,,,,,
52M012,KRA5211BEG18,미래M012삼성전자콜,0,000000000.000,N,005930,,,,,,00005,012000000,20261112,0168,C,20261118,000000155,000000000017900,00005,,,,,,,,,
52M013,KRA5211BFG17,미래M013삼성전자콜,0,000000000.000,N,005930,,,,,,00005,010800000,20261112,0168,C,20261118,000000118,000000000012700,00005,,,,,,,,,
52M014,KRA5212BGG15,미래M014삼성전자풋,0,000000000.000,N,005930,,,,,,00005,011100000,20260611,0014,P,20260617,000000000,000000000017600,00005,,,,,,,,,
52M016,KRA5211BJG13,미래M016네이버콜,0,000000000.000,N,035420,,,,,,00005,024950000,20260611,0014,C,20260617,000000001,000000000019700,00005,,,,,,,,,
52M017,KRA5211BKG10,미래M017네이버콜,0,000000000.000,N,035420,,,,,,00005,026500000,20260709,0042,C,20260715,000000002,000000000022800,00005,,,,,,,,,
52M019,KRA5211BMG18,미래M019네이버콜,0,000000000.000,N,035420,,,,,,00005,024950000,20260813,0077,C,20260820,000000003,000000000015900,00005,,,,,,,,,
52M020,KRA5211BNG17,미래M020네이버콜,0,000000000.000,N,035420,,,,,,00005,027100000,20260910,0105,C,20260916,000000002,000000000020000,00005,,,,,,,,,
52M021,KRA5211BPG15,미래M021네이버콜,0,000000000.000,N,035420,,,,,,00005,025950000,20260910,0105,C,20260916,000000002,000000000017300,00005,,,,,,,,,
52M022,KRA5211BQG14,미래M022네이버콜,0,000000000.000,N,035420,,,,,,00005,026500000,20261112,0168,C,20261118,000000003,000000000015900,00005,,,,,,,,,
52M025,KRA5211BTG11,미래M025POSCO홀콜,0,000000000.000,N,005490,,,,,,00005,031100000,20260709,0042,C,20260715,000000035,000000000015700,00005,,,,,,,,,
52M026,KRA5211BVG17,미래M026POSCO홀콜,0,000000000.000,N,005490,,,,,,00005,031700000,20260813,0077,C,20260820,000000031,000000000015200,00005,,,,,,,,,
52M028,KRA5211BXG15,미래M028신한지주콜,0,000000000.000,N,055550,,,,,,00005,008180000,20260910,0105,C,20260916,000000028,000000000013400,00005,,,,,,,,,
52M029,KRA5211BYG14,미래M029카카오콜,0,000000000.000,N,035720,,,,,,00005,006830000,20260709,0042,C,20260715,000000005,000000000022300,00005,,,,,,,,,
52M030,KRA5211BZG13,미래M030카카오콜,0,000000000.000,N,035720,,,,,,00005,006540000,20260813,0077,C,20260820,000000000,000000000016200,00005,,,,,,,,,
52M031,KRA5211C0G13,미래M031카카오콜,0,000000000.000,N,035720,,,,,,00005,006680000,20260910,0105,C,20260916,000000003,000000000015900,00005,,,,,,,,,
52M034,KRA5211C3G10,미래M034한화오션콜,0,000000000.000,N,042660,,,,,,00005,012050000,20260910,0105,C,20260916,000000012,000000000011700,00005,,,,,,,,,
52M037,KRA5211C6G17,미래M037한국전력콜,0,000000000.000,N,015760,,,,,,00005,005110000,20260611,0014,C,20260617,000000002,000000000014800,00005,,,,,,,,,
52M038,KRA5211C7G16,미래M038한국전력콜,0,000000000.000,N,015760,,,,,,00005,005550000,20260709,0042,C,20260715,000000000,000000000017900,00005,,,,,,,,,
52M039,KRA5211C8G15,미래M039한국전력콜,0,000000000.000,N,015760,,,,,,00005,005010000,20260813,0077,C,20260820,000000001,000000000011700,00005,,,,,,,,,
52M040,KRA5211C9G14,미래M040한국전력콜,0,000000000.000,N,015760,,,,,,00005,005430000,20260910,0105,C,20260916,000000002,000000000013900,00005,,,,,,,,,
52M042,KRA5211CBG10,미래M042HMM콜,0,000000000.000,N,011200,,,,,,00005,002180000,20260611,0014,C,20260617,000000001,000000000038500,00005,,,,,,,,,
52M043,KRA5211CCG19,미래M043HMM콜,0,000000000.000,N,011200,,,,,,00005,002140000,20260813,0077,C,20260820,000000005,000000000027100,00005,,,,,,,,,
52M044,KRA5211CDG18,미래M044HMM콜,0,000000000.000,N,011200,,,,,,00005,002280000,20260910,0105,C,20260916,000000010,000000000034500,00005,,,,,,,,,
52M047,KRA5211CGG15,미래M047LG화학콜,0,000000000.000,N,051910,,,,,,00005,038900000,20260611,0014,C,20260617,000000001,000000000012700,00005,,,,,,,,,
52M048,KRA5211CHG14,미래M048LG화학콜,0,000000000.000,N,051910,,,,,,00005,039700000,20260910,0105,C,20260916,000000005,000000000010200,00005,,,,,,,,,
52M052,KRA5211CMG17,미래M052삼성SDI콜,0,000000000.000,N,006400,,,,,,00005,030750000,20260611,0014,C,20260617,000000098,000000000013000,00005,,,,,,,,,
52M053,KRA5211CNG16,미래M053삼성SDI콜,0,000000000.000,N,006400,,,,,,00005,031350000,20260910,0105,C,20260916,000000077,000000000010600,00005,,,,,,,,,
52M055,KRA5211CQG13,미래M055셀트리온콜,0,000000000.000,N,068270,,,,,,00005,020350000,20260709,0042,C,20260715,000000009,000000000018200,00005,,,,,,,,,
52M056,KRA5211CRG12,미래M056셀트리온콜,0,000000000.000,N,068270,,,,,,00005,019500000,20260910,0105,C,20260916,000000011,000000000011500,00005,,,,,,,,,
52M059,KRA5211CVG16,미래M059모비스콜,0,000000000.000,N,012330,,,,,,00005,040250000,20260611,0014,C,20260617,000000165,000000000027800,00005,,,,,,,,,
52M060,KRA5211CWG15,미래M060모비스콜,0,000000000.000,N,012330,,,,,,00005,040250000,20260910,0105,C,20260916,000000095,000000000018600,00005,,,,,,,,,
52M063,KRA5211CZG12,미래M063기아콜,0,000000000.000,N,000270,,,,,,00005,012850000,20260611,0014,C,20260617,000000051,000000000027100,00005,,,,,,,,,
52M064,KRA5211D0G11,미래M064기아콜,0,000000000.000,N,000270,,,,,,00005,013400000,20260910,0105,C,20260916,000000041,000000000022300,00005,,,,,,,,,
52M066,KRA5211D2G19,미래M066LG에너지콜,0,000000000.000,N,373220,,,,,,00005,040950000,20260611,0014,C,20260617,000000005,000000000007900,00005,,,,,,,,,
52M067,KRA5211D3G18,미래M067LG에너지콜,0,000000000.000,N,373220,,,,,,00005,042600000,20260709,0042,C,20260715,000000006,000000000008200,00005,,,,,,,,,
52M068,KRA5211D4G17,미래M068LG에너지콜,0,000000000.000,N,373220,,,,,,00005,042600000,20260910,0105,C,20260916,000000007,000000000007000,00005,,,,,,,,,
52M071,KRA5211D7G14,미래M071현대차콜,0,000000000.000,N,005380,,,,,,00005,032800000,20260611,0014,C,20260617,000000112,000000000018200,00005,,,,,,,,,
52M072,KRA5211D8G13,미래M072현대차콜,0,000000000.000,N,005380,,,,,,00005,030850000,20260709,0042,C,20260715,000000045,000000000012700,00005,,,,,,,,,
52M073,KRA5211D9G12,미래M073현대차콜,0,000000000.000,N,005380,,,,,,00005,034200000,20260910,0105,C,20260916,000000107,000000000015400,00005,,,,,,,,,
52M078,KRA5211DEG16,미래M078한국조선콜,0,000000000.000,N,009540,,,,,,00005,040000000,20260611,0014,C,20260617,000000004,000000000007900,00005,,,,,,,,,
52M079,KRA5211DFG15,미래M079한국조선콜,0,000000000.000,N,009540,,,,,,00005,045000000,20260709,0042,C,20260715,000000005,000000000011300,00005,,,,,,,,,
52M080,KRA5211DGG14,미래M080한국조선콜,0,000000000.000,N,009540,,,,,,00005,044050000,20260910,0105,C,20260916,000000011,000000000008700,00005,,,,,,,,,
52M082,KRA5211DJG11,미래M082엘지전자콜,0,000000000.000,N,066570,,,,,,00005,009580000,20260611,0014,C,20260617,000000030,000000000010300,00005,,,,,,,,,
52M083,KRA5211DKG18,미래M083엘지전자콜,0,000000000.000,N,066570,,,,,,00005,010150000,20260709,0042,C,20260715,000000156,000000000012900,00005,,,,,,,,,
52M087,KRA5211DPG13,미래M087삼성전기콜,0,000000000.000,N,009150,,,,,,00005,028550000,20260611,0014,C,20260617,000000062,000000000023900,00005,,,,,,,,,
52M088,KRA5211DQG12,미래M088삼성전기콜,0,000000000.000,N,009150,,,,,,00005,029200000,20260910,0105,C,20260916,000000573,000000000018200,00005,,,,,,,,,
52M090,KRA5211DSG10,미래M090한화솔루콜,0,000000000.000,N,009830,,,,,,00005,002900000,20260611,0014,C,20260617,000000034,000000000015900,00005,,,,,,,,,
52M091,KRA5211DTG19,미래M091한화솔루콜,0,000000000.000,N,009830,,,,,,00005,002960000,20260813,0077,C,20260820,000000037,000000000013600,00005,,,,,,,,,
52M092,KRA5211DVG15,미래M092한화솔루콜,0,000000000.000,N,009830,,,,,,00005,003020000,20260910,0105,C,20260916,000000042,000000000013400,00005,,,,,,,,,
52M095,KRA5211DYG12,미래M095현대건설콜,0,000000000.000,N,000720,,,,,,00005,007510000,20260611,0014,C,20260617,000000085,000000000009300,00005,,,,,,,,,
52M096,KRA5211DZG11,미래M096현대건설콜,0,000000000.000,N,000720,,,,,,00005,007220000,20260813,0077,C,20260820,000000077,000000000007000,00005,,,,,,,,,
52M097,KRA5211E0G19,미래M097현대건설콜,0,000000000.000,N,000720,,,,,,00005,007510000,20260910,0105,C,20260916,000000051,000000000007300,00005,,,,,,,,,
52M099,KRA5211E2G17,미래M099삼성중콜,0,000000000.000,N,010140,,,,,,00005,002650000,20260709,0042,C,20260715,000000015,000000000015700,00005,,,,,,,,,
52M100,KRA5211E3G16,미래M100삼성중콜,0,000000000.000,N,010140,,,,,,00005,002700000,20260910,0105,C,20260916,000000015,000000000013700,00005,,,,,,,,,
52M101,KRA5211E4G15,미래M101삼성중콜,0,000000000.000,N,010140,,,,,,00005,002820000,20261008,0133,C,20261015,000000015,000000000014500,00005,,,,,,,,,
52M102,KRA5211E5G14,미래M102에이피알콜,0,000000000.000,N,278470,,,,,,00005,023550000,20260611,0014,C,20260617,000000019,000000000010400,00005,,,,,,,,,
52M103,KRA5211E6G13,미래M103에이피알콜,0,000000000.000,N,278470,,,,,,00005,025450000,20260709,0042,C,20260715,000000035,000000000011500,00005,,,,,,,,,
52M104,KRA5211E7G12,미래M104에이피알콜,0,000000000.000,N,278470,,,,,,00005,027050000,20260910,0105,C,20260916,000000020,000000000011300,00005,,,,,,,,,
52M105,KRA5211E8G11,미래M105에이피알콜,0,000000000.000,N,278470,,,,,,00005,028250000,20261112,0168,C,20261118,000000030,000000000010800,00005,,,,,,,,,
52M107,KRA5211EAG19,미래M107하나금융콜,0,000000000.000,N,086790,,,,,,00005,010550000,20260910,0105,C,20260916,000000030,000000000014800,00005,,,,,,,,,
52M110,KRA5211EDG16,미래M110포스코퓨콜,0,000000000.000,N,003670,,,,,,00005,020600000,20260611,0014,C,20260617,000000011,000000000017000,00005,,,,,,,,,
52M111,KRA5211EEG15,미래M111포스코퓨콜,0,000000000.000,N,003670,,,,,,00005,021000000,20260910,0105,C,20260916,000000014,000000000013900,00005,,,,,,,,,
52M112,KRA5212EFG13,미래M112포스코퓨풋,0,000000000.000,N,003670,,,,,,00005,019000000,20260611,0014,P,20260617,000000001,000000000026400,00005,,,,,,,,,
52M114,KRA5211EHG12,미래M114현대일렉콜,0,000000000.000,N,267260,,,,,,00005,092400000,20260611,0014,C,20260617,000000051,000000000012000,00005,,,,,,,,,
52M116,KRA5211EKG17,미래M116한국항공콜,0,000000000.000,N,047810,,,,,,00005,011800000,20260611,0014,C,20260617,000000049,000000000019700,00005,,,,,,,,,
52M117,KRA5211ELG16,미래M117한국항공콜,0,000000000.000,N,047810,,,,,,00005,011500000,20260910,0105,C,20260916,000000032,000000000013000,00005,,,,,,,,,
52M118,KRA5211EMG15,미래M118SK콜,0,000000000.000,N,034730,,,,,,00005,028050000,20260611,0014,C,20260617,000000035,000000000019300,00005,,,,,,,,,
52M119,KRA5211ENG14,미래M119SK콜,0,000000000.000,N,034730,,,,,,00005,026400000,20260709,0042,C,20260715,000000036,000000000014500,00005,,,,,,,,,
52M120,KRA5211EPG12,미래M120SK콜,0,000000000.000,N,034730,,,,,,00005,029300000,20260910,0105,C,20260916,000000123,000000000016400,00005,,,,,,,,,
52M124,KRA5211ETG18,미래M124효성중공콜,0,000000000.000,N,298040,,,,,,00005,201200000,20260611,0014,C,20260617,000000057,000000000003000,00005,,,,,,,,,
52M125,KRA5211EVG14,미래M125효성중공콜,0,000000000.000,N,298040,,,,,,00005,214000000,20260813,0077,C,20260820,000000054,000000000002800,00005,,,,,,,,,
52M128,KRA5211EYG11,미래M128LS일렉콜,0,000000000.000,N,010120,,,,,,00005,010500000,20260611,0014,C,20260617,000000082,000000000012200,00005,,,,,,,,,
52M129,KRA5211EZG10,미래M129LS일렉콜,0,000000000.000,N,010120,,,,,,00005,010080000,20260813,0077,C,20260820,000000067,000000000009200,00005,,,,,,,,,
52M130,KRA5211F0G16,미래M130LS일렉콜,0,000000000.000,N,010120,,,,,,00005,011440000,20260910,0105,C,20260916,000000074,000000000011200,00005,,,,,,,,,
52M131,KRA5211F1G15,미래M131삼양식품콜,0,000000000.000,N,003230,,,,,,00005,144100000,20260611,0014,C,20260617,000000001,000000000007700,00005,,,,,,,,,
52M133,KRA5211F3G13,미래M133삼성물산콜,0,000000000.000,N,028260,,,,,,00005,025400000,20260611,0014,C,20260617,000000074,000000000023300,00005,,,,,,,,,
52M134,KRA5211F4G12,미래M134삼성물산콜,0,000000000.000,N,028260,,,,,,00005,026500000,20260709,0042,C,20260715,000000081,000000000025000,00005,,,,,,,,,
52M135,KRA5211F5G11,미래M135삼성물산콜,0,000000000.000,N,028260,,,,,,00005,027100000,20260910,0105,C,20260916,000000065,000000000021800,00005,,,,,,,,,
